ART_GRP_SE,ARCHV_ARTST_NM,NM,VRIT_MARK_CN,REALM_CL,ACT_RELM_CN,BIRTH_YEAR,RSRCH_MAN_NM,URL
ARTST,예술인,박승규,Park seung kyu,시각예술,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19381
ARTST,예술인,박헌열,Park heon youl,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19395
FARTST,미술작가,제여란,Je yeo ran,회화,,1960,,https://www.daarts.or.kr/handle/11080/19607
ARTST,예술인,김대성,Kim Dae-seong,창작음악,한국현대음악,1967,,https://www.daarts.or.kr/handle/11080/49318
FARTST,미술작가,이호철,Lee ho chul,회화,,1958,,https://www.daarts.or.kr/handle/11080/19556
ARTST,예술인,문주,Moon joo,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19356
ARTST,예술인,박재훈,"朴在勳, PARK Chai-Hoon",창작음악,한국현대음악,1922,,https://www.daarts.or.kr/handle/11080/69973
ARTST,예술인,신소미,SHIN Somi,창작음악,한국현대음악,1966,,https://www.daarts.or.kr/handle/11080/82102
DIC,구술채록,한용희,韓龍熙,공연예술,음악,1931,민경찬,https://www.daarts.or.kr/handle/11080/16961
DIC,구술채록,송준영,宋埻英,공연예술,무용,1936,장지원,https://www.daarts.or.kr/handle/11080/24109
ARTST,예술인,권순형,Kwon soon hyung,시각예술,미술작가,1929,,https://www.daarts.or.kr/handle/11080/19236
ARTST,예술인,김창희,Kim chang hee,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19325
ARTST,예술인,사석원,Sa suk won,시각예술,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19410
ARTST,예술인,남정현,南廷賢,문학,소설,1933,,https://www.daarts.or.kr/handle/11080/5638
DIC,구술채록,진홍섭,秦弘燮,시각예술,미술이론,1918,나선화,https://www.daarts.or.kr/handle/11080/16909
FARTST,미술작가,전뢰진,Joen roi jin,조각,,1929,,https://www.daarts.or.kr/handle/11080/19578
FARTST,미술작가,정보원,Chung bo won,조각,,1947,,https://www.daarts.or.kr/handle/11080/19592
ARTST,예술인,이매방,李梅芳,공연예술,한국무용,1926,,https://www.daarts.or.kr/handle/11080/92879
ARTST,예술인,원인종,Won in jong,시각예술,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19479
ARTST,예술인,강혜경,,공연예술,음악,1974,,https://www.daarts.or.kr/handle/11080/135956
ARTST,예술인,신혁진,SHIN Hyukjin,창작음악,한국현대음악,1976,,https://www.daarts.or.kr/handle/11080/49018
FARTST,미술작가,우관호,Woo kwan ho,공예,,1958,,https://www.daarts.or.kr/handle/11080/19473
ARTST,예술인,박불똥,Park bul ddong,시각예술,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19373
FARTST,미술작가,김안나,Kim ahn na,공예,,1958,,https://www.daarts.or.kr/handle/11080/19289
FARTST,미술작가,정주하,Chung chang sup,사진,,1958,,https://www.daarts.or.kr/handle/11080/19602
ARTST,예술인,황창배,Hwang chang bae,시각예술,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19686
ARTST,예술인,이종덕,李種德,기타,예술행정,1935,,https://www.daarts.or.kr/handle/11080/45192
ARTST,예술인,채경화,"蔡耕華, CHAE Kyung Hwa",창작음악,한국현대음악,1958,,https://www.daarts.or.kr/handle/11080/52087
DIC,구술채록,윤대성,尹大星,공연예술,연극,1939,김숙현,https://www.daarts.or.kr/handle/11080/60986
FARTST,미술작가,정상화,Chung sang hwa,회화,,1932,,https://www.daarts.or.kr/handle/11080/19594
ARTST,예술인,박인호,"朴仁鎬, PARK Inho",창작음악,한국현대음악,1956,,https://www.daarts.or.kr/handle/11080/49216
ARTST,예술인,이소연,"李昭然, SoYeon LEE",창작음악,한국현대음악,1970,,https://www.daarts.or.kr/handle/11080/51250
ARTST,예술인,황현수,Hwang hyun soo,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19687
FARTST,미술작가,조재익,Cho jae ik,회화,,1963,,https://www.daarts.or.kr/handle/11080/19616
ARTST,예술인,오예승,OH Ye Seung,창작음악,한국현대음악,1976,,https://www.daarts.or.kr/handle/11080/52121
DIC,구술채록,김영운,"金英雲, 본명 김영환(金英煥)",공연예술,연극,1924,이승희,https://www.daarts.or.kr/handle/11080/24104
DIC,구술채록,하태진,河泰瑨,시각예술,회화,1945,강민기,https://www.daarts.or.kr/handle/11080/16949
ARTST,예술인,박태환,,공연예술,연극,1986,,https://www.daarts.or.kr/handle/11080/91801
FARTST,미술작가,임옥상,Lim ok sang,회화,,1950,,https://www.daarts.or.kr/handle/11080/19564
FARTST,미술작가,김광우,Kim kwang woo,조각,,1941,,https://www.daarts.or.kr/handle/11080/19258
DIC,구술채록,성경린,成慶麟,공연예술,음악,1911,이숙희,https://www.daarts.or.kr/handle/11080/16405
ARTST,예술인,양정현,梁鼎鉉,공연예술,무대미술,1938,,https://www.daarts.or.kr/handle/11080/73634
ARTST,예술인,최영섭,崔永燮,공연예술,작곡,1929,,https://www.daarts.or.kr/handle/11080/30219
ARTST,예술인,김주풍,Kim Joopoong,창작음악,한국현대음악,1958,,https://www.daarts.or.kr/handle/11080/51253
ARTGR,예술단체,Art stage 다올-청평문화예술학교,,공연단체,,,,https://www.daarts.or.kr/handle/11080/52090
FARTST,미술작가,유근택,Yoo geun taek,회화,,1965,,https://www.daarts.or.kr/handle/11080/19480
ARTST,예술인,이승은,LEE Seung-eun,창작음악,한국현대음악,1977,,https://www.daarts.or.kr/handle/11080/52283
ARTGR,예술단체,와뮤지컬그라운드,,공연단체,,,,https://www.daarts.or.kr/handle/11080/52058
ARTST,예술인,이유태,Lee yu tae,시각예술,미술작가,1916,,https://www.daarts.or.kr/handle/11080/19536
FARTST,미술작가,송영방,宋榮邦,회화,,1936,,https://www.daarts.or.kr/handle/11080/5901
DIC,구술채록,이종인,李鍾仁,기타,기타,1934,홍기원,https://www.daarts.or.kr/handle/11080/73561
ARTST,예술인,박영근,"朴英根, PARK Young-Keun",창작음악,한국현대음악,1947,,https://www.daarts.or.kr/handle/11080/49636
DIC,구술채록,어효선,魚孝善,문학,문학,1925,원종찬,https://www.daarts.or.kr/handle/11080/16520
ARTGR,예술단체,육완순현대무용단,,공연단체,,,,https://www.daarts.or.kr/handle/11080/722
DIC,구술채록,이종상,Lee jong sang,시각예술,회화,1938,박계리,https://www.daarts.or.kr/handle/11080/16711
FARTST,미술작가,박고석,Park ko suk,회화,,1917,,https://www.daarts.or.kr/handle/11080/19362
ARTST,예술인,김혜식,金惠植,공연예술,발레,1942,,https://www.daarts.or.kr/handle/11080/6357
ARTST,예술인,김경인,Kim kyung in,시각예술,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19256
ARTST,예술인,조경희,趙敬姬,문학,수필,1918,,https://www.daarts.or.kr/handle/11080/5663
ARTST,예술인,유영주,You young joo,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19486
ARTST,예술인,이신자,Lee shin ja,시각예술,섬유공예(미술작가 500인),1930,,https://www.daarts.or.kr/handle/11080/19526
DIC,구술채록,김학자,金學子,공연예술,무용,1939,손선숙,https://www.daarts.or.kr/handle/11080/16264
ARTST,예술인,임영길,Yim young kil,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19563
FARTST,미술작가,한풍렬,Han poong ryul,회화,,1942,,https://www.daarts.or.kr/handle/11080/19659
ARTST,예술인,장석주,CHANG Suk Joo,창작음악,한국현대음악,1971,,https://www.daarts.or.kr/handle/11080/95935
DIC,구술채록,이원경,李原庚,공연예술,연극,1916,백현미,https://www.daarts.or.kr/handle/11080/16678
DIC,구술채록,조금앵,"曹錦鶯, 본명 조윤순(曺潤順)",공연예술,연극,1930,이승연,https://www.daarts.or.kr/handle/11080/16877
ARTST,예술인,조념,趙念,공연예술,"작곡, 바이올린",1922,,https://www.daarts.or.kr/handle/11080/6245
ARTST,예술인,강희덕,Kang hee duk,시각예술,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19221
ARTST,예술인,이경미,"李京美, RHEE Kyungmee",창작음악,한국현대음악,1962,,https://www.daarts.or.kr/handle/11080/53634
FARTST,미술작가,강찬균,Kang chan gyun,공예,,1938,,https://www.daarts.or.kr/handle/11080/19217
ARTST,예술인,오순희,Oh soon hee,시각예술,공예,1944,,https://www.daarts.or.kr/handle/11080/19464
ARTST,예술인,심현아,"沈玹娥, SHIM Hyunah",창작음악,한국현대음악,,,https://www.daarts.or.kr/handle/11080/83932
ARTST,예술인,손석우,孫夕友,대중예술,대중가요,1920,,https://www.daarts.or.kr/handle/11080/6505
ARTGR,예술단체,(주)문화공작소 상상마루,,기타,,,,https://www.daarts.or.kr/handle/11080/52070
ARTGR,예술단체,(재)서울예술단,,공연단체,,,,https://www.daarts.or.kr/handle/11080/721
DIC,구술채록,무세중,"巫世衆, 본명 김세중(金世中)",공연예술,연극,1937,김혜련,https://www.daarts.or.kr/handle/11080/24045
ARTST,예술인,김태,Kim tai,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19331
ARTST,예술인,안상수,安尙秀,시각예술,타이포그래피,1952,,https://www.daarts.or.kr/handle/11080/73263
ARTST,예술인,이석주,Lee suk ju,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19515
ARTST,예술인,조인선,"曺仁善, CHO In-Sun",창작음악,한국현대음악,1953,,https://www.daarts.or.kr/handle/11080/58951
DIC,구술채록,장두건,張斗建,시각예술,회화,1918,채효영,https://www.daarts.or.kr/handle/11080/16772
FARTST,미술작가,조평휘,趙平彙,회화,,1932,,https://www.daarts.or.kr/handle/11080/5888
ARTGR,예술단체,오케시스,,기타,,,,https://www.daarts.or.kr/handle/11080/723
FARTST,미술작가,신산옥,Shin san ok,회화,,1954,,https://www.daarts.or.kr/handle/11080/19430
FARTST,미술작가,장리석,張利錫,회화,,1916,,https://www.daarts.or.kr/handle/11080/5966
ARTST,예술인,정철호,鄭哲鎬,공연예술,"판소리, 창극",1927,,https://www.daarts.or.kr/handle/11080/6187
FARTST,미술작가,이정진,Lee jung jin,사진,,1961,,https://www.daarts.or.kr/handle/11080/19545
FARTST,미술작가,김진영,Kim jin yung,조각,,1954,,https://www.daarts.or.kr/handle/11080/19320
ARTST,예술인,엄영자,嚴英子,공연예술,발레,1940,,https://www.daarts.or.kr/handle/11080/6328
FARTST,미술작가,김식,Kim shik,회화,,1952,,https://www.daarts.or.kr/handle/11080/19286
ARTST,예술인,조광,"趙洸, 본명 조무(趙茂)",공연예술,발레,1929,,https://www.daarts.or.kr/handle/11080/6311
ARTST,예술인,박이소,Bahc yi so,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19388
ARTST,예술인,홍미선,Hong mi sun,시각예술,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19666
ARTST,예술인,목진덕,,공연예술,연극,1967,,https://www.daarts.or.kr/handle/11080/135992
ARTGR,예술단체,박수근미술관,,,,,,https://www.daarts.or.kr/handle/11080/49179
FARTST,미술작가,신현중,Shin hyun jung,설치,,,,https://www.daarts.or.kr/handle/11080/19435
DIC,구술채록,신동한,申東漢,문학,문학,1928,김성수,https://www.daarts.or.kr/handle/11080/16475
ARTST,예술인,정종열,"鄭宗烈, CHONG Jong Yeoul",창작음악,한국현대음악,1967,,https://www.daarts.or.kr/handle/11080/49044
ARTST,예술인,국수호,鞠守鎬,공연예술,한국무용,1948,,https://www.daarts.or.kr/handle/11080/29621
FARTST,미술작가,김종하,金鐘夏,회화,,1918,,https://www.daarts.or.kr/handle/11080/5980
ARTST,예술인,안창홍,Ahn chang hong,시각예술,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19448
FARTST,미술작가,강익중,Kang ik joong,설치,,1960,,https://www.daarts.or.kr/handle/11080/19213
FARTST,미술작가,김영기,Kim young kee,회화,,1911,,https://www.daarts.or.kr/handle/11080/19291
DIC,구술채록,고향미,"高響美, 본명 이명숙(李明淑)",공연예술,연극,1922,이화진,https://www.daarts.or.kr/handle/11080/16053
DIC,구술채록,장민호,張民虎,공연예술,연극,1924,이미원,https://www.daarts.or.kr/handle/11080/16780
FARTST,미술작가,강미영,kang mi young,조각,,1962,,https://www.daarts.or.kr/handle/11080/19204
DIC,구술채록,심경자,Shim kyung ja,시각예술,회화,1944,이정은,https://www.daarts.or.kr/handle/11080/16492
DIC,구술채록,문두훈,文斗訓,공연예술,음악,1932,유전식,https://www.daarts.or.kr/handle/11080/107373
ARTST,예술인,임준희,"林俊希, LIM June-Hee",창작음악,한국현대음악,1959,,https://www.daarts.or.kr/handle/11080/49224
ARTST,예술인,무세중,"巫世衆, 본명 김세중(金世中)",공연예술,행위예술,1937,,https://www.daarts.or.kr/handle/11080/24044
ARTST,예술인,전영화,全榮華,시각예술,미술작가,1929,,https://www.daarts.or.kr/handle/11080/5877
FARTST,미술작가,전준엽,Chun jun yeup,회화,,1953,,https://www.daarts.or.kr/handle/11080/19583
ARTST,예술인,권명화,權明花,공연예술,한국무용,1934,,https://www.daarts.or.kr/handle/11080/6175
ARTST,예술인,류병엽,Rhoo byung yup,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19350
DIC,구술채록,황정순,黃貞順,대중예술,대중예술,1925,이순진,https://www.daarts.or.kr/handle/11080/17010
ARTST,예술인,이신우,"李信雨, LEE Shinuh",창작음악,한국현대음악,1969,,https://www.daarts.or.kr/handle/11080/49214
FARTST,미술작가,임동락,Lim dong lak,조각,,1953,,https://www.daarts.or.kr/handle/11080/19559
ARTST,예술인,조영숙,曺英淑,공연예술,"배우(여성국극, 발탈)",1934,,https://www.daarts.or.kr/handle/11080/24087
ARTST,예술인,황규백,Hwang kyu baik,시각예술,미술작가,1932,,https://www.daarts.or.kr/handle/11080/19679
DIC,구술채록,최영섭,崔永燮,공연예술,음악,1929,이남재,https://www.daarts.or.kr/handle/11080/77447
ARTST,예술인,안평선,安平善,대중예술,방송연출,1936,,https://www.daarts.or.kr/handle/11080/135757
ARTST,예술인,고향미,"高響美, 본명 이명숙(李明淑)",공연예술,배우,1922,,https://www.daarts.or.kr/handle/11080/6384
ARTGR,예술단체,안양문화예술재단,,기타,,,,https://www.daarts.or.kr/handle/11080/79765
ARTST,예술인,조문자,Cho moon ja,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19612
ARTGR,예술단체,크리에이티브 VaQi,,,,,,https://www.daarts.or.kr/handle/11080/27246
FARTST,미술작가,성옥희,Sung ok hi,공예,,1935,,https://www.daarts.or.kr/handle/11080/19424
ARTST,예술인,백병동,白秉東,공연예술,작곡,1936,,https://www.daarts.or.kr/handle/11080/61243
ARTST,예술인,성창순,成昌順,공연예술,판소리,1934,,https://www.daarts.or.kr/handle/11080/6184
ARTST,예술인,이종상,Lee jong sang,시각예술,한국화,1938,,https://www.daarts.or.kr/handle/11080/5892
DIC,구술채록,이철우,李喆雨,공연예술,음악,1938,민경찬,https://www.daarts.or.kr/handle/11080/73576
FARTST,미술작가,오수환,Oh su fan,회화,,1946,,https://www.daarts.or.kr/handle/11080/19462
FARTST,미술작가,박홍천,"Park, HongChun",사진,,1960,,https://www.daarts.or.kr/handle/11080/19397
FARTST,미술작가,김지현,Kim ji hyun,설치,,1968,,https://www.daarts.or.kr/handle/11080/19316
FARTST,미술작가,이동기,Lee dongi,회화,,1967,,https://www.daarts.or.kr/handle/11080/19506
ARTST,예술인,김순정,,공연예술,무용,1960,,https://www.daarts.or.kr/handle/11080/135959
FARTST,미술작가,권정호,Kwon jung ho,회화,,1944,,https://www.daarts.or.kr/handle/11080/19253
ARTST,예술인,이재홍,LEE Jae Hong,창작음악,한국현대음악,1973,,https://www.daarts.or.kr/handle/11080/58053
DIC,구술채록,박송희,朴松熙,공연예술,연극,1927,조영규,https://www.daarts.or.kr/handle/11080/16306
ARTST,예술인,홍성도,Hong sung do,시각예술,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19668
ARTST,예술인,이유정,Lee Youjung,,창작음악,1978,,https://www.daarts.or.kr/handle/11080/68549
ARTST,예술인,이돈응,"李敦膺, LEE Donoung",창작음악,한국현대음악,1955,,https://www.daarts.or.kr/handle/11080/64394
ARTST,예술인,배정혜,裵丁慧,공연예술,한국무용,1944,,https://www.daarts.or.kr/handle/11080/6363
ARTST,예술인,조우성,CHO Woosung,창작음악,한국현대음악,1979,,https://www.daarts.or.kr/handle/11080/88319
DIC,구술채록,오태석,吳泰錫,공연예술,연극,1940,이상란,https://www.daarts.or.kr/handle/11080/61181
FARTST,미술작가,형진식,Hyung jin sik,회화,,1950,,https://www.daarts.or.kr/handle/11080/19665
FARTST,미술작가,서정희,Seo jeong hee,판화,,1958,,https://www.daarts.or.kr/handle/11080/19417
ARTST,예술인,이건용,Lee kun yong,시각예술,미술작가,1942,,https://www.daarts.or.kr/handle/11080/19502
FARTST,미술작가,김준,Kim joon,설치,,1966,,https://www.daarts.or.kr/handle/11080/19315
ARTST,예술인,박동욱,朴東旭,창작음악,타악기,1935,,https://www.daarts.or.kr/handle/11080/67290
FARTST,미술작가,백철수,Paik chul soo,조각,,1950,,https://www.daarts.or.kr/handle/11080/19408
FARTST,미술작가,오숙환,Oh sook whan,회화,,1952,,https://www.daarts.or.kr/handle/11080/19463
FARTST,미술작가,류재구,Liu jai koo,공예,,1952,,https://www.daarts.or.kr/handle/11080/19351
ARTST,예술인,김정욱,金貞郁,공연예술,발레,1926,,https://www.daarts.or.kr/handle/11080/6361
FARTST,미술작가,최기원,Choi ki won,조각,,1935,,https://www.daarts.or.kr/handle/11080/19633
DIC,구술채록,정두수,"鄭斗守, 본명 정두채(鄭杜采)",공연예술,음악,1937,이준희,https://www.daarts.or.kr/handle/11080/49503
FARTST,미술작가,이숙자,Lee sook ja,회화,,1942,,https://www.daarts.or.kr/handle/11080/5860
FARTST,미술작가,임충섭,Lim choong sup,설치,,1941,,https://www.daarts.or.kr/handle/11080/19566
ARTST,예술인,홍성민,Hong sung min,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19669
DIC,구술채록,이인영,李仁榮,공연예술,음악,1929,민경찬,https://www.daarts.or.kr/handle/11080/16701
DIC,구술채록,조영숙,曺英淑,공연예술,연극,1934,문경연,https://www.daarts.or.kr/handle/11080/24088
ARTST,예술인,박영근,Park young geun,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19384
ARTST,예술인,주영자,"朱榮子, JOO Young-ja",창작음악,한국현대음악,1945,,https://www.daarts.or.kr/handle/11080/96774
ARTST,예술인,박대성,Park dae sung,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19367
DIC,구술채록,이기형,李基炯,문학,문학,1917,김성수,https://www.daarts.or.kr/handle/11080/16616
ARTST,예술인,김영희,,공연예술,무용,1961,,https://www.daarts.or.kr/handle/11080/135941
ARTST,예술인,박조열,朴祚烈,공연예술,연극,1930,,https://www.daarts.or.kr/handle/11080/60559
ARTST,예술인,김천영,Kim cheon young,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19326
ARTST,예술인,한진만,Han jin man,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19657
FARTST,미술작가,이종각,Lee jong gak,조각,,1937,,https://www.daarts.or.kr/handle/11080/19546
ARTST,예술인,최인찬,"崔仁贊, CHOI, In-Chan",창작음악,한국현대음악,1923,,https://www.daarts.or.kr/handle/11080/163407
ARTST,예술인,엄덕문,嚴德紋,시각예술,건축,1919,,https://www.daarts.or.kr/handle/11080/5806
DIC,구술채록,임윤수,林允洙,공연예술,음악,1917,조성보,https://www.daarts.or.kr/handle/11080/16755
ARTGR,예술단체,상상만발극장,,,,,,https://www.daarts.or.kr/handle/11080/22578
ARTST,예술인,강석희,姜碩熙,창작음악,작곡,1934,,https://www.daarts.or.kr/handle/11080/64392
ARTST,예술인,윤석남,Yun suk nam,시각예술,미술작가,1937,,https://www.daarts.or.kr/handle/11080/19495
ARTST,예술인,허황,Hur hwang,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19664
FARTST,미술작가,김아영,Kim ah young,회화,,1953,,https://www.daarts.or.kr/handle/11080/19287
ARTST,예술인,박동우,Park Dong Woo,공연예술,무대미술,1962,,https://www.daarts.or.kr/handle/11080/48786
ARTST,예술인,우상기,Woo sang ki,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19474
ARTST,예술인,최정훈,CHOI Jeonghun,창작음악,한국현대음악,1972,,https://www.daarts.or.kr/handle/11080/58547
ARTST,예술인,김원,Kim won,시각예술,미술작가,1932,,https://www.daarts.or.kr/handle/11080/19299
ARTST,예술인,백병동,Paik Byung-dong,창작음악,한국현대음악,1936,,https://www.daarts.or.kr/handle/11080/64397
FARTST,미술작가,서정태,Suh jung tae,회화,,1952,,https://www.daarts.or.kr/handle/11080/19416
ARTST,예술인,박지은,,시각예술,회화,1972,,https://www.daarts.or.kr/handle/11080/135786
FARTST,미술작가,왕경애,Wang kyung ae,회화,,1953,,https://www.daarts.or.kr/handle/11080/19472
DIC,구술채록,백영수,白榮洙,시각예술,회화,1922,이인범,https://www.daarts.or.kr/handle/11080/33942
ARTST,예술인,이홍석,RHIE Hong-seok,창작음악,한국현대음악,1964,,https://www.daarts.or.kr/handle/11080/49038
DIC,구술채록,심죽자,沈竹子,시각예술,회화,1929,윤혜준,https://www.daarts.or.kr/handle/11080/23980
ARTST,예술인,황성곤,"黃聖坤, HWANG Gon",창작음악,한국현대음악,1968,,https://www.daarts.or.kr/handle/11080/58055
